sentence,language,country,user_id,time
"Rooftop bar, Downtown LA, clear night, full moon, I in black leather jacket, she with red scarf, discussed indie music, both attended Radiohead concert last summer.",English,USA,@peppyPam355,1700697039.8581736
"Farmer's market, sunny morning, I with blue cap, he with canvas tote bag, exchanged cooking tips, agreed to visit new Italian restaurant.",English,USA,@happyHank706,1693726163.4354973
"Waiting for 9:15 AM train, drizzling, I with yoga mat, she with sketchbook, shared umbrella, sketched city skyline, appreciated early mornings.",English,USA,@wittyWhit817,1703509303.6189528
"Dog park, warm breezy afternoon, I with beagle, he with dalmatian, dogs chased each other, discussed hiking trails, planned dog-friendly hike.",English,USA,@livelyLiz966,1690997533.4363136
"Tech meetup, co-working space downtown, I in startup t-shirt, she with tech company laptop sticker, discussed current projects, talked AI trends.",English,USA,@vividVic481,1683670969.0932662
"Charity run event, cool clear morning, I in white running shirt, he bib number 102, cheered at finish line, shared smoothie, talked training routines.",English,USA,@bennyG977,1675057232.5041115
"Book signing event, quaint bookstore, I with glasses, she in vintage-style dress, discussed favorite books, shared love for mystery novels.",English,USA,@biggirl866,1684958373.2412088
"Pub quiz night, I with trivia book, he suggested witty team name, celebrated team win, laughed, discussed favorite trivia categories.",English,USA,@bennyG566,1674377657.9899929
"Art gallery opening, I in black dress, he in tailored suit, admired abstract painting, discussed interpretations, shared glass of wine.",English,USA,@dreamyDan313,1683955770.9844933
"Beach cleanup event, sunny hot day, I with straw hat, she with sunscreen on nose, picked up trash, talked marine conservation, planned to attend ocean documentary screening.",English,USA,@zestyZara159,1692711436.4719584
"Jazz concert, outdoor venue, cool evening, I in gray sweater, he in black beanie, discussed favorite jazz musicians, both enjoyed Miles Davis.",English,USA,@niftyNick661,1695240674.2498143
"Coffee shop, rainy afternoon, I with laptop, she with photography magazine, shared table, talked about recent travels, both visited Paris last year.",English,USA,@happyHank635,1675040770.96647
"Library, quiet morning, I in a white shirt, she with blue backpack, discussed recent reads, both fans of Haruki Murakami.",English,USA,@hopefulHank417,1684717685.0976129
"Rock climbing gym, energetic atmosphere, I with climbing shoes, he with chalk bag, bouldered together, discussed favorite climbing spots, planned outdoor climbing trip.",English,USA,@neatNate951,1699724790.337344
"Farmers market, early morning, I in running gear, she with reusable bags, discussed organic produce, shared recipes, planned to cook together.",English,USA,@calmCam926,1695064713.6866035
"Brewery tour, lively crowd, I with a beer sampler, he in a brewery t-shirt, discussed favorite beers, both liked IPA, planned to visit another brewery.",English,USA,@peppyPam906,1687668367.736805
"Yoga class, serene studio, I with purple mat, he with water bottle, practiced side by side, discussed meditation practices, planned to attend a workshop.",English,USA,@craftyCarl198,1688861986.2463722
"Vintage car show, sunny afternoon, I in a denim jacket, she with a sun hat, admired classic cars, discussed restoration projects, both interested in 1960s models.",English,USA,@hopefulHank644,1681343606.943447
"Hiking trail, cool clear day, I with hiking boots, he with a camera, hiked together, discussed nature photography, exchanged favorite trails.",English,USA,@sassySam656,1678556192.6772568
"Film festival, indie theater, I with a festival pass, she with a program guide, watched a documentary together, discussed film techniques, planned to watch another screening.",English,USA,@wittyWhit812,1684121578.3245583
"New York, Broadway, Italian restaurant, evening, I in a striped shirt, she in a red dress, shared love for pasta, both enjoyed tiramisu dessert.",English,USA,@bubblyBeth588,1693606556.7066717
